Running...,Bot Boy#7482,2018-11-26 04:34:57.372000
$download_channel,Spiritonia#7854,2018-11-26 04:34:57.070000
$download_channel,Spiritonia#7854,2018-11-26 04:29:14.498000
,Liam#5223,2018-11-21 01:00:29.673000
"""don't speak that way to your mother"" - claudio to me",Catiline#0267,2018-11-20 13:03:31.291000
-Bronte,VisitThigh889#1093,2018-11-19 10:55:20.387000
"“Taught me to use both hands,”",VisitThigh889#1093,2018-11-19 10:55:04.436000
"“When I was a sad boi, my father took me to go see billy”- Bronte",VisitThigh889#1093,2018-11-19 10:54:30.929000
"""I can change my mind at any time on that one"" - Connor on the topic of abstaining from sex",Liam#5223,2018-11-19 10:36:20.215000
"""if you haven't asked for anal at least once"" - claudio",Catiline#0267,2018-11-18 09:41:26.807000
"""is deli just for meat likers"" - Ben",Aerpub#7229,2018-11-18 07:58:31.551000
- Liam,Spiritonia#7854,2018-11-12 05:27:35.783000
"""If you drink black coffee, nothing stronger will ever go in your mouth""",Spiritonia#7854,2018-11-12 05:27:34.384000
<:surprise:314017120448937985>,Liam#5223,2018-11-12 01:05:20.309000
i like that ending bit,abarb#3803,2018-11-11 10:00:17.418000
- schizophrenic,abarb#3803,2018-11-11 09:58:37.486000
"""tonight i gave out my number unprompted for the first time. the waitress asked me to write down on her pad what fragrance i was wearing, my friend's friends asked and i said i wrote both. they said they want a follow up on what happens, i don't know if they were making fun of me. i made a joke about just spraying it on my socks, the kind of joke that you play off as not real but could be real because it is real. i'm not interested, she lmao she looks like she listens to a band she's heard the radio call Theory of a Deadman, but why not do things. why not just like, write graffiti that says I AM JUST GRAFFITI, why not watch the movie Yes Man starring Jim Carrey and read every polemic review of it and why not laugh, i am an open borders man. (to be clear, i don't care about agreeable taste in music. maybe some people have that luxury, but in my experience it's hollow anyway. my favorite person in the world listens to pitbull most, i wrote that as a dichotomy but i happen to like pitbull sometimes. you want a person that doesn't get sick of what you play on roadtrips really fast, not someone who listens to all the same shit you do so they luckily don't have to shut you down)""",abarb#3803,2018-11-11 09:58:25.016000
"""THERE'S A REASON WE DON'T PAY OUR TEACHERS 

IT'S 











THE ILLUMNINATIE 


yes. i'm sorry for the shock. it's the rockerfellers. the rothchilds. not going to touch race here... it's the  elites . drain the swamp and replace it with marilyn manson. actually i have many candidates, like bruce willis, steve harvey. brad pitt is good with children i think i hear? 

actually, we don't pay our teachers because we don't care. we are all juggling at least 6 bitches, trying to get paid. if they were so poor they'd resort to violence that's the language i speak""",abarb#3803,2018-11-11 09:58:12.036000
"""the game is lost, you read these words, now you have to admit it was because you thought they might teach you something. i don't mean like some greek teacher you use, you are reading because you don't know me and you're insatiably curious of every word you read. i don't see you turning aWAY from this drivel. you think about boundaries, why you cross them, anything to rescue""",abarb#3803,2018-11-11 09:58:00.606000
"""stacey's suck only costs $4"" - sarah
""i kinda want it now"" - claudio",Catiline#0267,2018-11-11 09:56:13.794000
"""i am a welder of fries"" - sarah",Catiline#0267,2018-11-07 10:57:40.727000
,Liam#5223,2018-11-06 11:20:24.992000
"""I would kill you guys if i didn't have a better purpose"" - Claudio",Aerpub#7229,2018-11-06 04:57:42.328000
""" the last song is about the singer's cum and how he wants to talk to Metallica about art""",abarb#3803,2018-11-03 03:13:50.442000
-ana,Liam#5223,2018-11-03 02:16:55.103000
"""old people are speed bumps""",Catiline#0267,2018-11-03 00:33:56.164000
,Catiline#0267,2018-10-29 11:09:18.445000
,Catiline#0267,2018-10-29 11:03:24.107000
"*looking at titty game that gives you more titty if you answer questions right*
""i'd be so good at med if the exams were like this"" - sarah",Catiline#0267,2018-10-29 10:37:51.850000
"""you want to see clowns? i want to see tits"" - claudio",Catiline#0267,2018-10-29 10:29:33.169000
classic,abarb#3803,2018-10-28 08:10:39.721000
😠,Spiritonia#7854,2018-10-28 08:10:11.870000
"""Claudio's DnD character [the sheriff] was just a cooler version of him"" - Sarah",Aerpub#7229,2018-10-28 07:32:39.724000
,Liam#5223,2018-10-18 11:16:41.363000
"“You look like a pussy”subgay
“At least I look like a dry one”- Connor",VisitThigh889#1093,2018-10-18 04:05:29.249000
"""how many cummies are on it"" - liam
""8"" - claudio",Catiline#0267,2018-10-15 01:32:09.377000
"""Can 👏 we 👏 molest 👏 children"" - Liam",Spiritonia#7854,2018-10-14 07:35:43.404000
"""Ben is an anal enforcer"" - Liam",Aerpub#7229,2018-10-13 13:20:47.792000
"""are we sure linkedin isn't a dating site""",Catiline#0267,2018-10-11 09:35:19.640000
"""big girl big cums"" - claudio",Catiline#0267,2018-10-07 05:55:19.734000
imma shit myself on camera,abarb#3803,2018-10-02 01:22:41.819000
,abarb#3803,2018-10-02 01:22:23.465000
asking for a friend,abarb#3803,2018-10-02 01:20:56.934000
,Liam#5223,2018-10-02 01:20:29.154000
"""Ben are you stealing my ecstacy?"" - Ana",Liam#5223,2018-09-29 12:27:34.245000
